경쟁사,상품명,카테고리,정가,할인가,할인율,리뷰수,평점,배송방식,무료배송기준,상세페이지길이,영상유무,성분표시,인증마크,월예상판매량,주요키워드
자사(안티그래비티),퓨어 비타민C 세럼,세럼,45000,35000,22%,3847,4.7,로켓배송,무료,12섹션,Y,전성분 공개,식약처인증/비건,4200,비타민C세럼/미백세럼/톤업세럼
경쟁사A(오스틴),비타민C 세럼 20%,세럼,42000,38000,10%,5210,4.5,로켓배송,무료,8섹션,Y,주요성분만,식약처인증,5800,비타민C세럼/고농축세럼
경쟁사B(닥터지),브라이트닝 비타민C 세럼,세럼,38000,32000,16%,8920,4.3,로켓배송,무료,10섹션,N,전성분 공개,식약처인증,7200,비타민C세럼/브라이트닝/미백
경쟁사C(클레어스),프레쉬리 쥬스드 비타민C 세럼,세럼,28000,28000,0%,12450,4.6,일반배송,50000원이상,6섹션,N,전성분 공개,비건,9500,비타민C세럼/순한세럼/비건세럼
자사(안티그래비티),울트라 수분 크림,크림,48000,42000,13%,2180,4.8,로켓배송,무료,10섹션,Y,전성분 공개,식약처인증/비건,2800,수분크림/보습크림/건성크림
경쟁사A(오스틴),하이드라 모이스처 크림,크림,45000,40000,11%,3650,4.4,로켓배송,무료,7섹션,N,주요성분만,식약처인증,4100,수분크림/보습크림
경쟁사B(닥터지),레드 블레미쉬 크림,크림,36000,29000,19%,15200,4.5,로켓배송,무료,9섹션,Y,전성분 공개,식약처인증,12000,시카크림/진정크림/트러블크림
경쟁사C(클레어스),미드나이트 블루 카밍 크림,크림,32000,32000,0%,9800,4.5,일반배송,50000원이상,5섹션,N,전성분 공개,비건,7800,진정크림/수분크림/민감성크림
자사(안티그래비티),제주 녹차 마스크팩 10매,마스크팩,18000,15000,17%,5420,4.6,로켓배송,무료,8섹션,N,전성분 공개,비건,6500,마스크팩/녹차마스크/수분마스크
경쟁사A(오스틴),데일리 시트마스크 30매,마스크팩,25000,19900,20%,7800,4.3,로켓배송,무료,6섹션,N,주요성분만,없음,8900,마스크팩/대용량마스크/데일리마스크
경쟁사B(닥터지),레드 블레미쉬 마스크,마스크팩,22000,18000,18%,4200,4.4,로켓배송,무료,7섹션,N,전성분 공개,식약처인증,3800,시카마스크/진정마스크/트러블마스크
경쟁사C(클레어스),리치 모이스트 마스크 10매,마스크팩,15000,15000,0%,6100,4.5,일반배송,50000원이상,4섹션,N,전성분 공개,비건,5200,수분마스크/보습마스크/비건마스크
