항목,내용
상품명,안티그래비티 퓨어 비타민C 세럼 30ml
브랜드,안티그래비티
카테고리,스킨케어 > 세럼/에센스
정가,45000
할인가,35000
할인율,22%
주요성분,순수 비타민C(아스코르빅애시드) 15%, 나이아신아마이드 3%, 히알루론산 1%, 판테놀 0.5%
용량,30ml
제조국,대한민국
피부타입,모든 피부 (민감성 피부 테스트 완료)
사용법,"세안 후 토너 다음 단계에서 2-3방울을 얼굴 전체에 도포, 아침/저녁 사용 가능"
인증사항,"식약처 기능성 화장품 인증(미백), 피부 자극 테스트 완료, 비건 인증"
핵심소구점1,순수 비타민C 15% 고농축 — 4주 사용 시 톤 개선 효과 임상 완료
핵심소구점2,특허 안정화 기술로 개봉 후 90일간 산화 방지
핵심소구점3,피부과 전문의 공동 개발 — 민감성 피부도 사용 가능
수상이력,"2025 뷰티어워드 세럼 부문 1위, 2025 화해 스킨케어 TOP 10"
리뷰수,3847
평균평점,4.7
타겟고객,"25-40세 여성, 피부 톤 개선/미백에 관심 있는 소비자"
경쟁제품,오스틴 비타민C 세럼(38000원), 닥터지 비타민C 세럼(32000원), 클레어스 비타민C 세럼(28000원)
USP,고농축 순수 비타민C + 특허 안정화 기술의 조합은 시장 내 유일
