번호,작성자,댓글내용,좋아요수,작성일,감정분류
1,캠핑왕김씨,"이거 캠핑 가서 장작 자를 때 진짜 좋아요. 가벼워서 한 손으로도 가능",45,2025-11-15,긍정
2,DIY초보,"배터리가 30분도 안 가는 건 좀 아쉽네요. 나무 3개 자르면 끝",32,2025-11-16,부정
3,정원사아빠,"우리 집 화단 정리할 때 딱 좋습니다. 소음도 적고",28,2025-11-17,긍정
4,공구매니아,"이 가격에 이 정도면 입문용으로 충분합니다",22,2025-11-18,긍정
5,주말농부,"굵은 나무는 좀 힘든데 가지치기용으로는 완벽",19,2025-11-19,중립
6,안전제일,"안전장치가 좀 부실한 것 같아요. 안전 가드 추가해주세요",17,2025-11-20,부정
7,전원주택러,"전기톱 처음 사봤는데 무섭지 않고 좋네요. 초보한테 추천",15,2025-11-21,긍정
8,나무꾼준호,"체인 텐션 조절이 좀 어려워요. 설명서가 부족함",14,2025-11-22,부정
9,미니멀캠퍼,"캠핑 가방에 쏙 들어가서 좋아요. 무게도 가볍고",12,2025-11-23,긍정
10,프로목수,"전문가용으로는 부족하지만 가정용으로는 OK",11,2025-11-24,중립
11,에코라이프,"배터리 두 개 사면 한 시간은 쓸 수 있어요",10,2025-11-25,긍정
12,초보캠퍼,"장작 자르기엔 좋은데 소리가 좀 크네요",9,2025-11-26,중립
13,핸디맨박씨,"다른 전동공구 배터리랑 호환되면 좋겠는데...",8,2025-11-27,부정
14,가드닝러버,"가지치기 영상 보고 샀는데 진짜 편해요",7,2025-11-28,긍정
15,실용주의자,"무게 대비 파워가 좋습니다. 2kg도 안 되는데 제법 잘 잘려요",6,2025-11-29,긍정
16,주부9단,"남편이 안 해줘서 제가 직접 샀는데 여자도 충분히 쓸 수 있어요",42,2025-11-30,긍정
17,과수원주인,"과수원 가지치기에 매일 쓰는데 3개월째 고장 없이 잘 됩니다",38,2025-12-01,긍정
18,전동공구리뷰어,"브러시리스 모터라 확실히 오래가요. 브러시 모터 제품이랑 차이 큼",35,2025-12-02,긍정
19,아빠캠퍼,"아이들 앞에서 쓰기엔 좀 무서워 보여요. 안전 교육 필수",30,2025-12-03,중립
20,원예달인,"화분 가지치기용으로 샀는데 이건 좀 오버스펙이에요ㅋㅋ",27,2025-12-04,중립
21,시골살이,"귀농한 뒤로 매주 쓰고 있어요. 없으면 안 될 필수템",25,2025-12-05,긍정
22,DIY유튜버,"영상 찍으려고 구매했는데 절단면이 깔끔해서 만족",23,2025-12-06,긍정
23,절약왕,"다른 브랜드보다 좀 비싸긴 한데 성능 생각하면 이해됨",20,2025-12-07,중립
24,체인소마니아,"체인 교체가 좀 귀찮아요. 공구 없이 교체 가능하면 좋겠다",18,2025-12-08,부정
25,목공초보,"원목 테이블 다리 자르는 데 썼는데 완벽합니다",16,2025-12-09,긍정
26,안전맨,"보호 장갑이 기본 포함이면 좋겠어요",15,2025-12-10,부정
27,전원일기,"귀촌 3년차, 드디어 전기톱 질렀습니다. 만족!",14,2025-12-11,긍정
28,미니멀리스트,"보관 케이스가 있어서 정리하기 좋아요",13,2025-12-12,긍정
29,프리랜서목수,"현장에서 보조 톱으로 쓰기에 딱입니다. 메인은 못 하지만",12,2025-12-13,중립
30,캠핑카라이프,"캠핑카에 항상 싣고 다녀요. 가볍고 작아서 자리 안 차지함",11,2025-12-14,긍정
31,텃밭아저씨,"토마토 지지대 자르는 데 쓰고 있어요ㅋㅋ 약간 과한 느낌",10,2025-12-15,중립
32,우드크래프터,"절단 속도가 생각보다 빨라요. 8인치치고는 파워풀",9,2025-12-16,긍정
33,불안한초보,"처음 켤 때 진동이 좀 있어서 놀랐어요. 적응하면 괜찮음",8,2025-12-17,중립
34,조경사김씨,"업무용으로 매일 쓰는데 배터리 4개는 있어야 하루 버팀",35,2025-12-18,중립
35,단독주택민,"울타리 옆 나무 가지치기에 최고입니다",7,2025-12-19,긍정
36,아웃도어맨,"등산 갈 때 가져가기엔 좀 무거워요. 캠핑용으로만 씁니다",6,2025-12-20,중립
37,신혼부부,"남편이 사달라고 해서 선물했는데 매주 마당에서 뭔가 자르고 있어요",28,2025-12-21,긍정
38,은퇴아빠,"은퇴 후 취미로 목공 시작했는데 이 톱이 딱이에요",22,2025-12-22,긍정
39,리뷰왕,"솔직히 이 가격대에서 브러시리스 모터는 찾기 어렵습니다",20,2025-12-23,긍정
40,불만고객A,"구매 2주 만에 체인이 빠졌어요. A/S 신청했는데 대응은 빨랐음",18,2025-12-24,부정
41,전동공구수집가,"마키다 쓰다가 이걸로 바꿨는데 가정용으로는 충분합니다",16,2025-12-25,긍정
42,실험정신,"소나무 15cm 잘라봤는데 가능하긴 한데 좀 힘들어하더라고요",14,2025-12-26,중립
43,캠핑요리사,"장작 자르고 바로 불 피워서 고기 구웠습니다. 캠핑 필수템",12,2025-12-27,긍정
44,환불고민,"생각보다 소음이 커서 환불할까 고민했는데 성능 보고 그냥 씁니다",10,2025-12-28,중립
45,애견인,"강아지 산책로 옆 잡풀 제거에 쓰고 있어요. 과한 건 맞음ㅋ",8,2025-12-29,긍정
46,정원디자이너,"전문적인 정원 작업에는 부족하지만 개인 정원 관리엔 OK",15,2025-12-30,중립
47,구매3일차,"아직 3일밖에 안 써봤지만 첫인상은 좋습니다. 가볍고 잘 잘림",13,2025-12-31,긍정
48,비교맨,"나가사키 제품이랑 비교하면 무게 차이가 확실해요. 이게 훨씬 가벼움",25,2026-01-02,긍정
49,주택관리사,"아파트 관리실에서 구매했습니다. 조경 작업에 활용 중",11,2026-01-03,긍정
50,아마추어목수,"톱날 각도가 일정해서 초보도 깔끔하게 자를 수 있어요",9,2026-01-04,긍정
51,걱정맘,"남편이 쓰는 거 보면 아슬아슬해요. 안전 영상 좀 올려주세요",16,2026-01-05,부정
52,장비덕후,"충전기가 좀 느려요. 급속 충전기 옵션이 있으면 좋겠다",14,2026-01-06,부정
53,주말전사,"토요일마다 이거 들고 나가서 정원 정리합니다. 주말의 로망",20,2026-01-07,긍정
54,미세먼지걱정,"실내에서 쓰면 톱밥이 많이 날려요. 야외 전용입니다",12,2026-01-08,중립
55,효도선물,"아버지 생신 선물로 드렸는데 매일 뭔가 자르신대요ㅋㅋ",35,2026-01-09,긍정
56,알뜰살뜰,"배터리 따로 사면 5만원인데 기본 2개 포함이라 합리적",10,2026-01-10,긍정
57,캠핑클럽회장,"동호회에서 3명이 이거 구매. 캠핑 커뮤니티에서 입소문 남",8,2026-01-11,긍정
58,귀찮은사람,"체인오일 넣는 게 귀찮아요. 자동 주유 기능 있으면 좋겠다",7,2026-01-12,부정
59,사과농장,"사과나무 전지 작업에 쓰고 있어요. 가지가 가늘면 최고",18,2026-01-13,긍정
60,냉정한리뷰어,"장점: 가볍고 배터리 2개. 단점: 소음, 굵은 나무 한계. 가정용으로 추천",22,2026-01-14,중립
61,신제품기대,"크래프트볼트에서 10인치도 나오나요? 나오면 바로 삽니다",6,2026-01-15,긍정
62,안전교관,"안전 장갑 없이 쓰는 분들 많은데 꼭 장갑 끼고 사용하세요",14,2026-01-16,중립
63,비오는날,"비 오는 날에도 쓸 수 있나요? 방수 여부가 궁금합니다",5,2026-01-17,중립
64,택배감사,"택배 포장 꼼꼼하게 와서 좋았어요. 케이스도 튼튼하고",9,2026-01-18,긍정
65,전기톱입문,"인생 첫 전기톱! 생각보다 안 무섭고 재밌어요",11,2026-01-19,긍정
66,단점만씀,"소음 큼, 진동 있음, 굵은 나무 안 잘림. 근데 계속 쓰고 있음ㅋ",30,2026-01-20,중립
67,목재DIY,"원목 선반 만들 때 사이즈 맞추기 편합니다. 절단면도 깔끔",13,2026-01-21,긍정
68,가격비교왕,"쿠팡이 가장 싸요. 네이버는 17만원대, 여기는 15만원대",8,2026-01-22,긍정
69,반품고민,"생각보다 작아서 반품하려다가 써보니 이 크기가 딱 적당함",10,2026-01-23,긍정
70,솔직남,"체인 느슨해지는 건 모든 전기톱이 다 그래요. 이거만의 문제 아님",15,2026-01-24,중립
71,감성캠퍼,"캠핑장에서 이거 쓰면 옆 사이트에서 다 쳐다봐요ㅋㅋ",7,2026-01-25,긍정
72,실내작업자,"아파트 베란다에서 쓰면 소음 민원 올 수 있어요. 주의",11,2026-01-26,부정
73,조경학과생,"학교 실습용으로 교수님이 추천해주셨어요",6,2026-01-27,긍정
74,고장경험,"3개월 쓰니까 스위치가 좀 뻑뻑해졌어요. A/S 받으니 바로 해결",12,2026-01-28,중립
75,비교영상봤어요,"유튜브에서 비교 영상 보고 결정했습니다. 무게 차이가 결정적",20,2026-01-29,긍정
76,꼼꼼이,"사용 설명서가 좀 부실해요. 유튜브 영상이 더 도움됨",9,2026-01-30,부정
77,만능아빠,"아이들 나무집 만들어줄 때 썼어요. 아이들이 아빠 멋있대요",24,2026-01-31,긍정
78,대량구매,"조경 업체인데 5대 구매했습니다. 직원들 보조 장비로 배치",15,2026-02-01,긍정
79,소음측정기,"직접 측정해봤는데 무부하 68dB, 부하 시 75dB 정도 나옵니다",18,2026-02-02,중립
80,겨울캠핑,"겨울 캠핑에서 장작 자를 때 배터리 소모가 좀 빨라지는 느낌",8,2026-02-03,중립
81,재구매자,"작년에 사서 잘 쓰다가 부모님 드리려고 하나 더 삽니다",32,2026-02-04,긍정
82,디자인좋아,"검정+오렌지 색 조합이 멋있어요. 공구 감성 최고",7,2026-02-05,긍정
83,정직리뷰,"별 5개짜리는 아니지만 별 4개는 충분합니다. 가정용으로 딱",14,2026-02-06,긍정
84,문의글,"체인오일은 어떤 거 사야 하나요? 아무거나 써도 되나요?",4,2026-02-07,중립
85,전원카페,"카페 마당 나무 정리할 때 쓰고 있어요. 손님들이 신기해함ㅋ",10,2026-02-08,긍정
86,무거운거싫어,"2.5kg 제품 쓰다가 이거로 바꿨는데 팔이 안 아파요",16,2026-02-09,긍정
87,여성DIYer,"여자도 충분히 쓸 수 있어요. 무게가 가벼운 게 핵심",21,2026-02-10,긍정
88,꼼꼼비교,"엑시툴이랑 고민했는데 배터리 2개 포함이라 이걸로 결정",13,2026-02-11,긍정
89,농부일기,"농장에서 쓰기엔 좀 약한데 텃밭 수준이면 충분합니다",9,2026-02-12,중립
90,급한사람,"당일 배송 되서 좋았어요. 주말에 바로 쓸 수 있었음",8,2026-02-13,긍정
91,소비자보호,"제품 자체는 좋은데 과대광고 느낌이 좀 있어요. 15cm 절단은 좀 힘듦",11,2026-02-14,부정
92,한줄평,"가볍다. 잘 잘린다. 배터리 좀 아쉽다. 끝.",19,2026-02-15,중립
93,감사인사,"덕분에 정원이 깔끔해졌습니다. 좋은 제품 감사합니다",6,2026-02-16,긍정
94,체인전문가,"체인은 오레곤 체인으로 교체하면 절단력이 확 올라갑니다",15,2026-02-17,중립
95,피드백맨,"다음 모델엔 LED 작업등 달아주세요. 어두운 곳에서 쓸 때 필요",7,2026-02-18,부정
96,캠핑유튜버,"영상 찍으면서 써봤는데 구독자들 반응 좋았어요",10,2026-02-19,긍정
97,현실적리뷰,"완벽한 제품은 아닌데 이 가격대에서 가장 나은 선택",12,2026-02-20,긍정
98,선물받은사람,"생일 선물로 받았는데 은근 실용적이에요",5,2026-02-21,긍정
99,종합평가,"장점이 단점보다 확실히 많은 제품. 가정용 전기톱 입문으로 추천합니다",26,2026-02-22,긍정
100,마지막리뷰,"6개월 장기 사용 후기: 배터리 수명 약간 줄었지만 아직 잘 됩니다. 내구성 합격",20,2026-02-23,긍정
