번호,작성자,댓글내용,좋아요수,작성일,감정분류
1,캠핑왕김씨,"이거 캠핑 가서 장작 자를 때 진짜 좋아요. 가벼워서 한 손으로도 가능",45,2025-11-15,긍정
2,DIY초보,"배터리가 30분도 안 가는 건 좀 아쉽네요. 나무 3개 자르면 끝",32,2025-11-18,부정
3,정원사아빠,"우리 아파트 화단 정리할 때 딱 좋습니다. 소음도 적고",28,2025-11-20,긍정
4,공구매니아,"이 가격에 이 정도면 입문용으로 충분합니다",22,2025-11-22,긍정
5,주말농부,"굵은 나무는 좀 힘든데 가지치기용으로는 완벽",19,2025-11-25,중립
6,안전제일,"안전장치가 좀 부실한 것 같아요. 안전 가드 추가해주세요",17,2025-11-28,부정
7,전원주택러,"전기톱 처음 사봤는데 무섭지 않고 좋네요. 초보한테 추천",15,2025-12-01,긍정
8,나무꾼준호,"체인 텐션 조절이 좀 어려워요. 설명서가 부족함",14,2025-12-03,부정
9,미니멀캠퍼,"캠핑 가방에 쏙 들어가서 좋아요. 무게도 가볍고",12,2025-12-05,긍정
10,프로목수,"전문가용으로는 부족하지만 가정용으로는 OK",11,2025-12-08,중립
11,에코라이프,"배터리 두 개 사면 한 시간은 쓸 수 있어요",10,2025-12-10,긍정
12,초보캠퍼,"장작 자르기엔 좋은데 소리가 좀 크네요",9,2025-12-12,중립
13,핸디맨박씨,"다른 전동공구 배터리랑 호환되면 좋겠는데...",8,2025-12-15,부정
14,가드닝러버,"가지치기 영상 보고 샀는데 진짜 편해요",7,2025-12-18,긍정
15,실용주의자,"무게 대비 파워가 좋습니다. 2kg도 안 되는데 제법 잘 잘려요",6,2025-12-20,긍정
