키워드,캠페인명,주차,노출수,클릭수,광고비,전환수,전환매출,CTR,CPC,ROAS
비타민C세럼,스킨케어_메인,2026-W01,45000,2700,810000,162,8100000,6.0%,300,10.0
비타민C세럼,스킨케어_메인,2026-W02,48000,2880,864000,178,8900000,6.0%,300,10.3
비타민C세럼,스킨케어_메인,2026-W03,52000,3120,936000,195,9750000,6.0%,300,10.4
비타민C세럼,스킨케어_메인,2026-W04,55000,3300,990000,210,10500000,6.0%,300,10.6
히알루론산크림,스킨케어_메인,2026-W01,38000,1900,665000,95,4750000,5.0%,350,7.1
히알루론산크림,스킨케어_메인,2026-W02,40000,2000,700000,104,5200000,5.0%,350,7.4
히알루론산크림,스킨케어_메인,2026-W03,42000,2100,735000,110,5500000,5.0%,350,7.5
히알루론산크림,스킨케어_메인,2026-W04,44000,2200,770000,118,5900000,5.0%,350,7.7
선크림추천,선케어_시즌,2026-W01,62000,3720,1116000,186,5580000,6.0%,300,5.0
선크림추천,선케어_시즌,2026-W02,58000,3480,1044000,170,5100000,6.0%,300,4.9
선크림추천,선케어_시즌,2026-W03,55000,3300,990000,158,4740000,6.0%,300,4.8
선크림추천,선케어_시즌,2026-W04,50000,3000,900000,140,4200000,6.0%,300,4.7
나이트크림,스킨케어_메인,2026-W01,28000,1120,448000,34,1870000,4.0%,400,4.2
나이트크림,스킨케어_메인,2026-W02,30000,1200,480000,38,2090000,4.0%,400,4.4
나이트크림,스킨케어_메인,2026-W03,27000,1080,432000,30,1650000,4.0%,400,3.8
나이트크림,스킨케어_메인,2026-W04,25000,1000,400000,26,1430000,4.0%,400,3.6
마스크팩세트,마스크팩_프로모,2026-W01,72000,5040,1512000,378,5670000,7.0%,300,3.8
마스크팩세트,마스크팩_프로모,2026-W02,78000,5460,1638000,420,6300000,7.0%,300,3.8
마스크팩세트,마스크팩_프로모,2026-W03,82000,5740,1722000,448,6720000,7.0%,300,3.9
마스크팩세트,마스크팩_프로모,2026-W04,85000,5950,1785000,470,7050000,7.0%,300,4.0
클렌징오일,클렌징_브랜드,2026-W01,35000,1750,612500,88,3520000,5.0%,350,5.7
클렌징오일,클렌징_브랜드,2026-W02,37000,1850,647500,96,3840000,5.0%,350,5.9
클렌징오일,클렌징_브랜드,2026-W03,39000,1950,682500,105,4200000,5.0%,350,6.2
클렌징오일,클렌징_브랜드,2026-W04,41000,2050,717500,112,4480000,5.0%,350,6.2
레티놀세럼,안티에이징_타겟,2026-W01,22000,880,440000,18,1260000,4.0%,500,2.9
레티놀세럼,안티에이징_타겟,2026-W02,24000,960,480000,20,1400000,4.0%,500,2.9
레티놀세럼,안티에이징_타겟,2026-W03,23000,920,460000,17,1190000,4.0%,500,2.6
레티놀세럼,안티에이징_타겟,2026-W04,21000,840,420000,15,1050000,4.0%,500,2.5
콜라겐크림,안티에이징_타겟,2026-W01,30000,1200,540000,42,2520000,4.0%,450,4.7
콜라겐크림,안티에이징_타겟,2026-W02,32000,1280,576000,48,2880000,4.0%,450,5.0
콜라겐크림,안티에이징_타겟,2026-W03,34000,1360,612000,52,3120000,4.0%,450,5.1
콜라겐크림,안티에이징_타겟,2026-W04,36000,1440,648000,58,3480000,4.0%,450,5.4
필링패드,스킨케어_메인,2026-W01,42000,2520,756000,152,3040000,6.0%,300,4.0
필링패드,스킨케어_메인,2026-W02,44000,2640,792000,162,3240000,6.0%,300,4.1
필링패드,스킨케어_메인,2026-W03,46000,2760,828000,170,3400000,6.0%,300,4.1
필링패드,스킨케어_메인,2026-W04,48000,2880,864000,180,3600000,6.0%,300,4.2
수분토너,스킨케어_메인,2026-W01,55000,3300,660000,198,3960000,6.0%,200,6.0
수분토너,스킨케어_메인,2026-W02,58000,3480,696000,215,4300000,6.0%,200,6.2
수분토너,스킨케어_메인,2026-W03,60000,3600,720000,225,4500000,6.0%,200,6.3
수분토너,스킨케어_메인,2026-W04,63000,3780,756000,240,4800000,6.0%,200,6.3
시카크림,스킨케어_메인,2026-W01,32000,1920,576000,96,2880000,6.0%,300,5.0
시카크림,스킨케어_메인,2026-W02,34000,2040,612000,106,3180000,6.0%,300,5.2
시카크림,스킨케어_메인,2026-W03,36000,2160,648000,114,3420000,6.0%,300,5.3
시카크림,스킨케어_메인,2026-W04,38000,2280,684000,122,3660000,6.0%,300,5.4
알로에젤,바디케어_기본,2026-W01,25000,1250,250000,100,1500000,5.0%,200,6.0
알로에젤,바디케어_기본,2026-W02,27000,1350,270000,112,1680000,5.0%,200,6.2
알로에젤,바디케어_기본,2026-W03,30000,1500,300000,128,1920000,5.0%,200,6.4
알로에젤,바디케어_기본,2026-W04,33000,1650,330000,142,2130000,5.0%,200,6.5
녹차마스크팩,마스크팩_프로모,2026-W01,50000,3500,1050000,280,4200000,7.0%,300,4.0
녹차마스크팩,마스크팩_프로모,2026-W02,53000,3710,1113000,300,4500000,7.0%,300,4.0
녹차마스크팩,마스크팩_프로모,2026-W03,56000,3920,1176000,322,4830000,7.0%,300,4.1
녹차마스크팩,마스크팩_프로모,2026-W04,58000,4060,1218000,338,5070000,7.0%,300,4.2
아이크림,안티에이징_타겟,2026-W01,18000,720,360000,14,980000,4.0%,500,2.7
아이크림,안티에이징_타겟,2026-W02,19000,760,380000,16,1120000,4.0%,500,2.9
아이크림,안티에이징_타겟,2026-W03,17000,680,340000,12,840000,4.0%,500,2.5
아이크림,안티에이징_타겟,2026-W04,16000,640,320000,10,700000,4.0%,500,2.2
